frame,edge_density,f_v,w_v,d_u_m,P_u,yolo_has_det,yolo_conf,yolo_dist_m,yolo_is_obst,rf_prob_obstacle,Decision
114,0.094,0.000,0.189,2.704,0.011,1,0.884,3.295,0,0.000,FREE
115,0.109,0.000,0.219,1.157,0.145,1,0.570,1.479,0,0.990,OBSTACLE
116,0.054,0.000,0.108,1.795,0.050,1,0.493,2.002,0,1.000,OBSTACLE
117,0.120,0.000,0.239,1.480,0.085,1,0.469,2.259,0,1.000,OBSTACLE
118,0.073,0.000,0.145,2.672,0.012,1,0.659,2.174,0,0.000,FREE
119,0.065,0.000,0.130,1.311,0.112,1,0.862,2.398,0,1.000,OBSTACLE
120,0.059,0.000,0.119,2.801,0.009,1,0.484,4.375,0,0.000,FREE
121,0.084,0.000,0.169,1.958,0.038,1,0.359,1.384,0,0.000,FREE
122,0.075,0.000,0.149,1.537,0.077,1,0.837,1.392,0,1.000,OBSTACLE
123,0.139,0.000,0.277,1.797,0.050,1,0.382,1.806,0,0.990,OBSTACLE
124,0.075,0.000,0.149,2.622,0.013,1,0.928,2.920,0,0.000,FREE
125,0.023,0.000,0.045,2.066,0.032,1,0.522,1.630,0,0.000,FREE
126,0.077,0.000,0.153,2.184,0.026,1,0.526,2.040,0,0.000,FREE
127,0.161,1.000,0.322,1.410,0.095,1,0.678,1.385,0,1.000,OBSTACLE
128,0.076,0.000,0.152,1.543,0.076,0,0.000,,0,1.000,OBSTACLE
129,0.038,0.000,0.077,2.025,0.034,1,0.870,2.103,0,0.000,FREE
130,0.047,0.000,0.095,2.169,0.027,1,0.435,2.025,0,0.000,FREE
131,0.088,0.000,0.175,2.175,0.027,0,0.000,,0,0.000,FREE
132,0.051,0.000,0.102,1.571,0.073,1,0.824,1.560,0,1.000,OBSTACLE
133,0.008,0.000,0.015,1.034,0.178,1,0.906,1.029,0,1.000,OBSTACLE
134,0.057,0.000,0.114,1.796,0.050,1,0.337,2.447,0,1.000,OBSTACLE
135,0.079,0.000,0.158,1.625,0.067,1,0.799,1.585,0,1.000,OBSTACLE
136,0.035,0.000,0.069,1.655,0.063,0,0.000,,0,1.000,OBSTACLE
137,0.035,0.000,0.069,1.470,0.086,0,0.000,,0,1.000,OBSTACLE
138,0.024,0.000,0.048,2.497,0.016,0,0.000,,0,0.000,FREE
139,0.032,0.000,0.064,2.381,0.019,0,0.000,,0,0.000,FREE
140,0.015,0.000,0.031,2.306,0.021,0,0.000,,0,0.000,FREE
141,0.038,0.000,0.076,1.340,0.107,1,0.351,1.282,0,1.000,OBSTACLE
142,0.028,0.000,0.055,1.497,0.082,1,0.519,1.371,0,1.000,OBSTACLE
143,0.057,0.000,0.114,1.019,0.183,1,0.635,2.525,0,1.000,OBSTACLE
144,0.016,0.000,0.032,1.679,0.061,1,0.402,2.012,0,1.000,OBSTACLE
