frame,edge_density,f_v,w_v,d_u_m,P_u,yolo_has_det,yolo_conf,yolo_dist_m,yolo_is_obst,rf_prob_obstacle,Decision
634,0.041,0.000,0.081,1.482,0.085,1,0.753,1.458,0,1.000,OBSTACLE
635,0.023,0.000,0.045,2.467,0.016,0,0.000,,0,0.000,FREE
636,0.154,0.000,0.307,2.249,0.024,0,0.000,,0,0.000,FREE
637,0.054,0.000,0.107,2.083,0.031,1,0.872,2.154,0,0.000,FREE
638,0.012,0.000,0.024,1.169,0.143,0,0.000,,0,1.000,OBSTACLE
639,0.011,0.000,0.022,1.297,0.115,0,0.000,,0,1.000,OBSTACLE
640,0.025,0.000,0.050,1.378,0.101,1,0.878,1.386,0,1.000,OBSTACLE
641,0.000,0.000,0.000,2.188,0.026,0,0.000,,0,0.020,FREE
642,0.062,0.000,0.124,1.238,0.127,1,0.584,1.327,0,1.000,OBSTACLE
643,0.000,0.000,0.000,0.725,0.299,1,0.782,0.730,1,0.990,OBSTACLE
644,0.042,0.000,0.083,1.188,0.138,1,0.783,1.184,0,1.000,OBSTACLE
645,0.059,0.000,0.118,0.850,0.243,1,0.602,0.987,0,1.000,OBSTACLE
646,0.038,0.000,0.077,2.222,0.025,1,0.390,2.026,0,0.000,FREE
647,0.025,0.000,0.050,1.000,0.189,1,0.326,1.054,0,1.000,OBSTACLE
648,0.044,0.000,0.089,2.402,0.018,1,0.854,2.515,0,0.000,FREE
649,0.120,0.000,0.241,1.206,0.134,1,0.930,1.560,0,1.000,OBSTACLE
650,0.190,1.000,0.379,2.156,0.028,1,0.910,2.737,0,0.030,FREE
651,0.024,0.000,0.048,1.071,0.168,1,0.698,0.970,0,1.000,OBSTACLE
652,0.038,0.000,0.075,0.926,0.214,1,0.753,0.895,0,1.000,OBSTACLE
653,0.051,0.000,0.101,1.344,0.106,1,0.910,1.802,0,1.000,OBSTACLE
